loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
19,0, Not Graduate, No,8532155.75211925,18058632.595014848,2,756.9082475856954,7682346.908986154,14311025.797046715,18461786.997094043,8943265.219461668, Approved
20,1, Not Graduate, Yes,5036539.897955817,,9,827.8538215496568,859090.0212907998,10258257.238884611,18392897.333943766,5121630.759356838, Approved
21,4, Graduate, No,8288692.249046918,31540602.024922855,20,587.5521658696532,12509164.510571878,9323053.88381152,20018125.343830284,6539596.482816332, Rejected
22,3, Not Graduate, Yes,4495701.445402582,11481943.0860739,8,415.48121546563016,7931693.189735593,7161875.429551084,10998121.32246641,4494246.114922688, Approved
23,1, Graduate, Yes,9202743.40733179,36043142.20490902,2,766.9396778314417,9250566.814139081,1316098.8597837714,32390690.585034303,9471245.171950387, Approved
24,0, Graduate, Yes,,7597063.152187021,10,443.2292710160833,6697288.5313216625,3024663.39553811,9877053.17976252,1641242.6855970733, Approved
25,1, Not Graduate, Yes,2109556.6761519574,6140115.806251604,6,900.0,1880558.7804472018,1588045.5135215553,5402900.721079448,1555932.6703469597, Approved
26,1, Not Graduate, Yes,3482164.626737919,11316634.263488645,10,900.0,4129067.7404243182,2422528.861350041,8317496.938461637,4345011.45319849, Approved
27,0, Graduate, Yes,1568331.5439378822,5013846.563055304,16,319.60138913541425,4389909.213852761,1445781.972421123,4262081.155058248,1975585.9872744281, Rejected
28,0, Graduate, Yes,7823927.127726306,75173907.19367865,10,568.7659774804998,12031745.789839437,,29433730.8125267,9665539.747811213, Approved
29,1, Graduate, No,2526140.1191372606,9700254.807195177,2,649.2374122379485,5634312.229192326,,6040329.601424272,4193126.4423217326, Approved
30,1, Not Graduate, Yes,5284650.568145184,14531188.953228619,15,431.66157711997585,13775342.88504102,10482044.760210231,18641627.206406496,8195933.271807558, Rejected
31,5, Graduate, Yes,6971280.768098519,22452676.357755274,6,387.6911507061456,16506893.16242195,7311291.685051511,20263351.920109626,9484047.788518311, Approved
32,1, Graduate, Yes,9190898.046773102,28371911.006301016,12,520.7272693122196,22363536.10626731,13604931.213298371,29751235.79888174,13131917.480539622,
33,2, Not Graduate, No,8648797.293454066,29642347.037035752,12,619.3133460350065,18488226.981677808,5378241.555518203,25024737.13877727,8510638.679216972, Approved
34,5, Not Graduate, Yes,765812.4540719547,5955382.126494851,4,,912764.4186187573,702523.8250964651,2876805.699175223,434676.57231414533, Approved
35,4, Graduate, No,1185626.359655769,3008292.7833620454,14,895.6102453622166,1694338.6870905769,1918854.73120831,,1451159.1534927287, Approved
36,0, Graduate, No,4480067.941668473,16647854.89796116,6,850.9182271262381,1979336.2583006339,39554.480867700106,18965552.735324442,3685675.595733368, Approved
37,3, Not Graduate, No,5254756.052595813,18063270.15172583,10,366.97757430496756,592803.629949369,7537743.855080698,15761248.509101361,6077006.9667527275, Rejected
38,3, Not Graduate, No,647137.6210101678,1976447.9915118555,8,759.0431980906668,,254314.1703214312,4100649.122811724,1391976.9571691602, Approved
39,0, Graduate, Yes,5595068.588993081,18119556.439263348,6,895.0270838615887,13798638.33381585,6436521.433409685,,7515121.944191609, Approved
40,3, Not Graduate, No,35197926.15382777,11729601.282843806,18,748.081129515649,,2446651.5542322043,10769271.431262668,4505264.566286685, Approved
41,1, Not Graduate, No,25141375.824162696,1529440.9555908781,16,753.7687131409813,402465.04709907254,823785.331025084,734952.4150976547,-100695.23017140978, Approved
42,4, Not Graduate, Yes,3636901.4591819053,,12,359.05710882389764,4330040.08522929,7628572.06509612,10043490.86609797,4199790.301917338, Rejected
43,3, Not Graduate, No,5546418.856410456,11377632.244751556,6,350.3562210402144,,11142051.045316422,20276723.226780858,, Rejected
44,5, Not Graduate, No,7691178.228040382,15614437.762700506,18,895.115460379404,5343094.268537234,2273915.90740403,20838431.764444277,5364596.220521617, Approved
45,4, Not Graduate, No,2983439.128414735,10134115.44563554,2,629.0193491784194,10001734.087294228,6686976.224283952,8121802.9609344425,2516202.654783994, Approved
46,2, Not Graduate, No,4143139.1789424466,,20,447.8952970249528,8557453.97079518,2897830.357413099,15381827.695319682,3233019.8221867615,
47,5, Not Graduate, No,350314.9151895991,-121039.30412158614,18,300.0,994171.4310975563,656240.8886714431,2419950.8440977945,284594.7161024612, Rejected
48,1, Not Graduate, No,,21948594.265832506,5,583.1676146818355,2935883.5769692273,990330.8046335465,24382220.142910462,5599165.401774441, Approved
49,5, Not Graduate, Yes,4788594.728039863,15519214.288064657,15,559.1536726285912,,5794367.435379527,9607350.507176979,5671151.047091605, Approved
50,5, Graduate, No,3786927.5348004885,9463126.65882242,12,900.0,4394445.775359962,3067351.361802028,11396404.967892164,5276904.6193248145, Approved
51,2, Not Graduate, Yes,2533266.447214701,6609960.335928979,6,708.9436908420224,6339279.171046747,641263.1975813454,8806203.089003734,4080581.646962189,
52,1, Not Graduate, No,9448783.779716061,33127643.660177782,20,463.4240019807035,,17389983.43620547,18799091.64861761,5204167.51718451, Rejected
53,2, Graduate, Yes,5003155.157374138,12182524.260495698,2,751.2323583329921,1470149.9710868455,8015436.150220966,12764730.123065246,, Approved
54,3, Graduate, Yes,7595155.519322282,24848474.708116043,13,724.899261858102,12725797.383538585,9712176.878949149,20117526.392517414,10081785.391940473, Approved
55,0, Not Graduate, Yes,5288995.003165704,17472343.345036104,2,357.05527281938214,11458506.003171423,6845045.99712573,18219993.192841202,3256085.8663952146, Approved
56,5, Graduate, Yes,1137822.74107417,755691.0013842343,12,300.0,3205813.1802711166,478925.60004424845,4263559.8017631,, Rejected
57,2, Not Graduate, No,6275831.889231212,13461768.210908232,2,732.2863650896886,1135032.292090433,12012027.098818922,22341068.411743365,5139743.799630005, Approved
58,0, Not Graduate, Yes,6588454.084796706,,18,862.2548365638411,9579544.352811743,8362404.848788213,16580998.167401139,8826331.800381057,
59,1, Graduate, No,35197926.15382777,10769530.089459924,2,720.168384054869,4478371.037587676,4441559.2492982345,8874701.512004573,4069664.9239806132, Approved
60,4, Not Graduate, No,6066087.636722891,12116751.358052563,2,721.1782986376999,238145.99640580855,4888754.659921155,16793416.11417052,2869412.418001792, Approved
61,3, Not Graduate, Yes,45254476.48349285,3795688.385982689,20,527.7009915583064,1206771.7458113793,1199160.0303038664,3593101.9161376515,728343.3667337095, Rejected
62,2, Graduate, No,4366386.9291920755,9879673.2027259,18,720.401517310365,7225114.712812663,450062.63751591084,10034356.39625154,6612517.0007825345, Approved
63,3, Not Graduate, Yes,4684670.5060794605,12162830.634532217,16,306.309668148597,6833868.250476413,10087511.40288178,14160892.165853417,5038620.286164556, Rejected
64,4, Graduate, No,1230268.126551132,2763084.7388232863,18,674.3083265461544,962172.9600217289,1223033.554798262,,462460.4688100009,
65,5, Not Graduate, No,4199926.128628662,12391105.976568952,6,604.7307065517496,10775004.121677076,6811814.868395392,13451908.974338118,, Approved
66,3, Graduate, No,2352155.8070136798,6643695.165974357,8,775.8130566346118,4139682.9333300586,3642277.787467257,6876024.757586594,812082.4934017723, Approved
67,0, Not Graduate, No,3989166.8655455685,8623487.12373793,18,321.85544392143237,11205610.797590822,6607686.5278077815,8426124.249906128,3651540.127560326,
68,1, Not Graduate, No,1408573.3496087797,3768619.769629814,2,515.3087948069791,-6606.957311826991,-23586.150480839657,2776815.4189097076,1372842.160844703, Approved
69,5, Not Graduate, Yes,5401514.052291319,13008566.367626505,14,537.8611521779261,11682726.518307954,8920250.548519334,18910394.917231932,5505316.028184177, Rejected
70,3, Graduate, Yes,2451684.2556593753,3883018.147908396,12,,7392923.678532911,7698.301799989946,9180736.248674663,3000004.4940791796,
71,2, Not Graduate, Yes,754429.2096428792,431981.3123384563,9,508.3969551684185,1298875.8400539192,648390.0024632278,1936775.885889221,1315587.2838151844, Approved
72,4, Graduate, No,5705824.957774548,14332250.910020845,16,511.027486310049,12501948.902116505,961106.4332060796,,2093569.6286567019, Rejected
73,0, Graduate, Yes,7703660.4499019375,30788176.748361886,19,407.47440727565123,21559290.08048581,13160481.016698321,15442369.709149957,10156648.997570356, Rejected
74,4, Not Graduate, Yes,4191075.0638730773,13913062.784349738,14,900.0,,4268857.2933045775,11435110.951740697,5082615.725327031, Approved
75,5, Not Graduate, No,3896766.7449933626,11797129.452373499,16,719.5466417626134,6814479.668402575,2955756.273051142,10609505.758421324,5579579.685274003, Approved
76,3, Graduate, No,7716726.082203095,16965473.630829003,20,300.0,17079353.96162173,13736180.787888387,26490798.135940075,9435687.902349558, Rejected
77,2, Not Graduate, No,3685700.3265386233,7028575.057741173,12,505.4773951264856,11137003.992820596,3105179.739952976,7892085.960455314,2747618.3095252947, Approved
78,1, Not Graduate, No,,20002648.18199951,12,660.105315332651,10226447.04212695,10188348.162152179,15886939.993531063,4217475.15928696,
79,2, Not Graduate, Yes,1254935.4615846237,3560644.630558206,10,556.3329596760756,-68121.55007004993,892875.5306478409,1786593.8293543044,1493111.3787417929, Approved
80,5, Graduate, Yes,382970.01690774714,2393567.940574703,2,821.6672735635216,2290594.0844570706,359043.6127827752,1375732.379549054,, Approved
81,0, Not Graduate, Yes,3801989.0155506567,7630227.9613163145,2,609.6262183130807,4006933.7272708253,5892337.159710616,14122086.188583678,2118937.812788246, Approved
82,4, Graduate, No,4604680.604174992,10186996.817158932,10,531.1225587932903,11869065.942232808,3067773.399503935,11727724.733637309,2579525.7645294107, Approved
83,0, Graduate, No,5707219.675112483,19053094.563613795,12,806.9922730357888,12277285.990001794,3233759.9466467113,14671057.932601519,2893666.452790149, Approved
84,5, Not Graduate, Yes,7848170.218605832,28513103.927245196,4,652.1751537146523,11123851.073751839,8013265.70698433,26875955.743467737,5202630.9321819,
85,0, Graduate, No,7414589.700896024,22885735.779809196,20,606.2071945958595,7285869.3788752435,9125984.505114965,22625966.770267453,6254872.824083948, Rejected
86,3, Graduate, No,4177618.979242091,14945979.438663809,6,,7606853.898099733,5378319.010896512,8317632.225558337,1776619.8820908808, Approved
87,0, Graduate, No,3461271.216440661,8311932.030954055,18,600.6164402523633,836149.4198584585,4918185.891157743,7512344.283058723,1790757.4219329536, Approved
88,1, Not Graduate, Yes,8079822.441487436,28056526.719273437,17,400.83852525188655,,3918936.7305261614,15587002.48418263,11933390.350378655, Rejected
89,1, Graduate, Yes,4521874.923703654,13508819.94225508,19,821.3556419350933,6037961.040795301,7301233.498174015,10281427.84067722,1854090.1428125408,
90,1, Graduate, No,3028223.073361008,5176097.775775924,2,352.28106140631036,139472.59357047157,-14897.059182104189,10791462.380111793,2085133.6617450956, Approved
91,3, Not Graduate, No,8224153.772041591,26687078.34546226,12,597.0278374960563,21976496.29564581,9779569.881887536,24121205.28635928,4794574.560632981, Approved
92,5, Graduate, No,669469.525675515,-94882.65403896366,6,512.9612175960381,-175865.3252958934,975179.5087969493,1679784.796660404,555175.1725620474, Approved
93,4, Not Graduate, No,,5598662.407014525,18,882.8142974915808,4422029.659201344,1271229.798718448,6291782.4543668525,1858379.0597147553, Approved
94,5, Graduate, Yes,521736.8469235322,1507874.5249522103,4,467.2714732438538,860063.746218254,342709.7422237912,,704848.0900996004, Approved
95,2, Graduate, No,8096189.187892683,20873599.00875193,18,725.1838670774217,3133968.730014112,16031486.538901998,16578462.3520078,10898284.09477221, Approved
96,1, Graduate, No,8271373.881936775,24229280.774000946,18,571.5863391784299,8516917.912085515,15107395.282012574,28590833.452062972,11591782.387039166, Rejected
97,1, Graduate, Yes,25141375.824162696,16990866.943173725,16,520.296673094095,8465353.593661848,7214603.598042362,12592008.48338954,3908787.6732013747, Rejected
98,0, Not Graduate, Yes,2891632.730793354,6556352.188305759,6,554.5971577419758,5543307.188698677,3789325.8506172923,7040463.981839366,3312580.474516782, Approved
99,4, Not Graduate, No,2525677.9378012614,8053448.620006317,4,567.7113435221554,3344046.3943880624,198118.3822754213,9054037.72106783,2767701.7462386778, Approved
100,5, Not Graduate, Yes,8118980.165626587,25973365.447822735,4,637.0492008037562,14801587.979946535,7327021.533274561,20233108.21897419,4566911.813597079, Approved
101,5, Graduate, Yes,907303.4268478567,4321429.265529305,16,330.36304555137815,,2267066.7387295486,2400571.810068514,902294.1311004543, Rejected
102,1, Not Graduate, No,1971119.4432066642,4442146.159197902,14,651.5614146431386,3408257.446403797,634352.7594605564,4490506.984364991,1777690.9246472004, Approved
103,4, Graduate, Yes,6709387.3026324995,22451873.749879297,4,408.3254732888232,5139692.967080098,4872141.677629884,18844604.934498873,9353523.251185859, Approved
104,5, Graduate, No,5693766.853413028,12422209.905613732,6,432.0966042999206,3498140.5715269907,11094989.567711266,20656541.49102448,7130154.546872978, Approved
105,3, Not Graduate, Yes,7645663.684860026,29844212.726206448,9,879.7698179393412,21698573.757707287,2906930.143301619,22405973.997354634,11494578.64218978, Approved
106,4, Not Graduate, Yes,30169650.98899523,22200803.427903105,11,868.4003444515104,3310471.2713912223,714074.0139032025,33307629.022921633,8095208.806932736, Approved
107,1, Not Graduate, No,7658852.276173333,23605942.29650834,12,799.6804555278276,5950064.185352264,11794316.22910429,21397749.6873382,7447519.423515239,
108,5, Graduate, No,5424318.139009508,18947106.289685905,2,558.3717725022273,7206112.873155339,2449104.5849197283,19341504.604326107,4079744.240730561, Approved
109,1, Not Graduate, Yes,8032484.707849181,19631337.905977167,2,,21850345.728163224,11938481.459684573,25029058.766641162,7543471.188233809, Approved
110,5, Not Graduate, No,,17742959.8342182,12,317.90734782662105,19505419.749655206,12566507.504689727,22615162.524970863,, Rejected
111,2, Graduate, Yes,1418845.6558419573,5599574.115906429,8,619.2073670411481,1519223.3956551366,,5966587.300212766,1859744.0425960508, Approved
112,5, Not Graduate, Yes,45254476.48349285,5400651.663273216,4,396.4041865361241,2372606.9608913134,624509.4199018552,5331625.303754299,1629850.6511547084, Approved
113,1, Not Graduate, Yes,4391611.026910675,16248483.563354831,14,824.4017858270444,1414581.9081891181,-310412.17838765215,8991682.521430269,3960592.2840373195, Approved
114,5, Not Graduate, Yes,1967395.548957383,4288961.170228121,10,772.6849410738357,2342460.8802411137,2674092.2885055835,,1879185.1787516265, Approved
115,4, Not Graduate, Yes,2121048.732556562,3954458.2188359,8,540.4922135723054,5937944.086942058,3646582.4721914814,7217163.809827925,1786419.5030931565, Approved
116,1, Graduate, No,3110929.9621592327,8431580.598925117,4,633.1750915719426,1905413.8199810302,3015749.2145285066,9308649.803656522,1468054.6941368724, Approved
117,5, Not Graduate, Yes,9801587.87936859,26971485.46341781,10,802.0849224207633,9109883.169412682,2990378.9921047883,31045539.91642537,10501047.896511918, Approved
118,4, Not Graduate, Yes,8987305.264778849,36181752.50849473,20,798.3509313749029,15599123.268670766,14209185.168935474,26410052.485666607,7349632.128342716, Approved
119,5, Not Graduate, Yes,1120458.7940631164,1523481.393889633,14,499.5350781265345,1481376.7213251744,1296737.68920646,1386391.6045161854,977443.7366374244, Approved
120,4, Not Graduate, No,1447276.7873565895,5974525.162723531,18,900.0,,300254.23164179706,3625283.0391773432,300357.4525831711, Approved
121,1, Not Graduate, Yes,933756.8918605923,1355617.202409418,10,695.9147206649626,415625.88871818734,818939.951729715,463684.63167783624,478786.8492309117, Approved
122,4, Graduate, Yes,,13522489.103932166,6,559.2777543848263,6293465.046738236,8934111.246736703,12559055.759879317,2500121.1725675184, Approved
123,1, Not Graduate, No,2866729.700221625,10072962.06463758,2,468.12221163201826,1472008.279943784,1799601.852042677,5915244.874341005,3270298.044145692, Approved
124,0, Not Graduate, No,7562687.469709569,21124499.5915189,4,659.8331747247623,13089934.387002807,9754531.872186331,,7371344.1403842475, Approved
125,5, Graduate, No,3802246.9291434605,7037750.282778146,16,849.5728047145866,6648029.999453859,1632393.6920409724,9687672.711764997,, Approved
126,2, Not Graduate, No,40226201.31866031,22669844.00590987,16,588.2949587827861,2824367.372137087,11244913.971389005,26772339.75712653,8294582.519797617, Rejected
127,4, Not Graduate, No,,8200554.573982355,4,596.8662864454973,2969664.9628169453,793453.9539851345,8787195.853335213,2366607.1636561444, Approved
128,5, Not Graduate, Yes,5209012.603135925,18904648.969053872,20,300.0,10916283.039483923,9850688.542786941,15170160.406412296,2838151.9058273057,
129,3, Not Graduate, Yes,8845421.062745478,25596285.96931524,20,854.9795271355333,19617528.59573986,9728443.048152046,26246872.011732746,12703887.233649341, Approved
130,1, Graduate, Yes,,23243101.98411152,17,753.4612853163396,7847461.87836642,6522384.6943738405,18509092.041022304,10545319.06649716,
131,5, Not Graduate, Yes,3819325.937750938,,2,301.3053421568664,8151725.631444118,7812514.467760354,5371340.273162035,2868944.8554069484, Approved
132,0, Graduate, Yes,4440582.403338294,9158643.88820458,20,404.8935829618191,10362996.127934797,2565701.2860173406,8734122.691788467,5551272.544902337, Rejected
133,5, Graduate, No,4449429.441761426,9413181.975531831,16,900.0,9443778.026778797,7207824.296243949,10555456.259971075,6606972.454096257, Approved
134,2, Not Graduate, Yes,6512292.40576396,16534631.877782933,2,516.5753027335567,377539.7733631037,2072312.4264998296,23949716.948659077,6831981.415999311, Approved
135,5, Graduate, Yes,8079503.804935189,23875179.343474753,12,431.04696022737545,14876837.721062848,874375.7402290455,24247061.382866453,, Rejected
136,1, Graduate, No,3539554.3424557457,8437369.64201644,20,,-546833.9072617362,3240785.3467728468,6006613.3687607525,2340480.4217789765, Approved
137,5, Graduate, No,6377413.123312944,17579296.019566357,6,494.78170202271053,4079863.82584741,10740713.794840032,18153287.21102588,5533788.474955434, Approved
138,5, Graduate, Yes,5779169.257567193,15545439.62972069,20,826.686305939178,16378469.192859843,9590398.696621684,16253130.101147406,3699298.5980778527, Approved
139,5, Not Graduate, No,6074619.884845662,13832705.288063949,4,,5477914.892182944,6322981.701924994,19364285.76863054,4348573.200140488, Approved
140,1, Graduate, Yes,7917924.265705967,19950825.753816824,8,617.799778475416,17346947.27181648,12101777.310704432,31238680.037154455,, Approved
141,2, Graduate, Yes,5668961.649915836,22113898.030207947,2,316.31541085157414,10846924.950411692,1466220.8419062854,22011362.969749514,6810394.994396567, Approved
142,2, Graduate, No,,,10,727.4509303028467,267568.3650995614,-172409.78204995306,6245172.253664774,2836778.408290512, Approved
143,4, Graduate, No,7070877.274408117,26771701.328219153,20,549.3685936431286,6006736.756886224,3946692.2073637987,17151895.467895243,5610080.873948358, Rejected
144,3, Not Graduate, Yes,1103183.798441667,3481175.4395645303,6,774.5549120276429,794705.8036004094,1371009.9490065654,4210140.797815998,224206.32860162007, Approved
145,1, Graduate, Yes,6714500.875787289,19053225.205526013,6,772.2913854164934,8247360.745668167,5258561.878056089,18446243.63551177,6494697.047773507, Approved
146,0, Graduate, No,9498823.234290045,26252820.424123216,6,425.41849775016874,20229228.755479757,18645486.15908135,35846592.12878621,7612787.421486693, Approved
147,0, Not Graduate, No,3406058.7800146067,6680160.4498758335,14,391.91873911099464,9539706.62527117,6851055.907486586,12170739.793802856,3008986.090248787, Rejected
148,3, Graduate, Yes,2599679.715361897,5513300.38409637,12,332.79660170714544,9086987.797275735,2297945.078850651,10353115.252750691,2921540.7796415286, Rejected
149,3, Graduate, Yes,6258331.77841801,23419147.727354538,16,404.80201328504296,,6234155.460449338,16048981.669691402,7309386.891553111,
150,1, Graduate, Yes,283804.4480215385,104732.83427019208,8,603.9950028179244,638396.0298614587,1153354.6962561454,938025.716431764,-278701.5491148508, Approved
151,4, Not Graduate, Yes,2754725.179905211,5870632.756949647,20,703.130962186947,1870607.5044433572,3267834.538782864,6824728.000623685,3777917.0522683035, Approved
152,0, Not Graduate, No,6834635.287355979,,19,696.6521035282814,1135359.3815229705,8270644.292095224,16736429.842536794,6342562.999207619, Rejected
153,3, Graduate, No,,14583436.23387947,10,330.50858166073516,6167063.283813232,7321133.619614311,12620771.110626763,5027872.660831094, Rejected
154,2, Not Graduate, No,2122398.3750267033,5868725.032366929,13,698.054807679395,,3263099.5457101194,5433819.184771955,3146783.6372343637,
155,3, Graduate, Yes,5142809.48614872,19713152.5329853,6,724.3203762111777,825474.7377760956,2352441.1772727817,11437604.567345653,7692994.434585314, Approved
156,0, Not Graduate, Yes,7393477.158811459,16933984.841188803,14,529.7329618201825,,,31173851.035033833,6556071.597463618, Rejected
157,5, Not Graduate, No,2752749.49988861,4970187.039359643,12,877.6623244827571,5251037.076960005,3526975.2390384004,6739006.069976845,1817739.7691614912, Approved
158,2, Graduate, No,2431186.2683733874,8215837.668638378,10,430.91380769813975,2270390.3424672647,5019696.776133467,,2342334.8733780417, Approved
159,0, Not Graduate, No,6126654.712569625,12001720.503384061,10,732.0048402814411,1298438.5934039096,3760678.133693785,22539661.917143844,, Approved
160,1, Not Graduate, No,3326407.1998179485,,18,,2411016.6328112823,5378880.933150647,13276769.756245885,2306203.163846306, Approved
161,2, Graduate, No,8089643.017360975,32211857.86177725,14,480.6495988763405,20549191.767148167,14422590.278896622,24084809.54867765,11645785.382396795,
162,0, Graduate, No,462014.0130773658,-164009.33914410812,4,578.0089258962926,272227.2274972158,326320.0207010344,2453900.3166527543,373900.6561126966, Approved
163,2, Graduate, Yes,2215542.6224768106,1209367.8905651574,6,836.0707606263394,3501245.5018531093,1126877.2314048777,3589831.5061254036,1194693.4911413908, Approved
164,4, Graduate, No,4746741.235283295,16144187.807378262,2,752.861327575569,11589231.488052636,1258463.9022276206,15384358.041857444,5158617.9151025675, Approved
165,4, Graduate, No,4855205.735104192,18748210.774419166,14,796.2822866935023,10112886.166990845,6371449.766428282,11648563.536761913,7140831.033339921, Approved
166,3, Graduate, No,565760.3468109301,-64783.12664190086,20,480.67724479885254,572019.4760416888,665138.8674233925,1404111.8477669195,447549.5040537038, Rejected
167,3, Not Graduate, Yes,8298675.5701627135,22772727.893573247,20,644.854868657826,15289375.450950723,3285895.4012568993,27457006.81850341,6485365.27352541, Rejected
168,0, Graduate, No,3791998.4293074915,5742943.882327409,6,876.0795106617825,8093989.916691619,5976793.45731138,7079805.805955792,3479301.010461845, Approved
169,5, Not Graduate, No,5069490.2965990305,75173907.19367865,12,654.0001541742122,16210939.223046608,10598874.879488526,19892348.392719284,5194972.867867993, Approved
170,4, Not Graduate, No,8578580.39697717,23653213.548605725,6,839.412731741283,14668584.1005472,5099737.644587536,26325519.17177684,7717605.561406265, Approved
171,4, Not Graduate, Yes,2979912.8858267064,8505456.900123205,14,423.972057400063,2979361.2404535776,3538302.310912927,9941662.07614699,4515303.686116625, Rejected
172,1, Not Graduate, No,2014226.0472028262,9389405.788217269,8,748.9940796044184,2171683.4704726017,168142.1296539328,7361783.425089738,1221120.6926812558, Approved
173,0, Graduate, Yes,8152132.098781422,28473803.334180657,6,,4123489.131322183,447485.7263982269,24294725.851226922,5725514.126981008, Approved
174,2, Not Graduate, Yes,9938923.772439955,33192984.94625073,4,473.36817172424384,26422911.486869,18068854.996820405,24028319.81692554,3917033.224311784, Approved
175,0, Not Graduate, No,898374.8329671035,6406028.472827099,18,895.1446300818629,-160700.02896372866,750983.1889750189,4068820.4407182583,1299680.21836739,
176,2, Not Graduate, No,8456457.226076929,26224161.914627697,16,595.9595061518975,9285067.611592507,13690396.845038386,32525757.67473434,4549798.915207654, Rejected
177,2, Graduate, No,,14300434.549500424,16,374.5787023196866,2981097.8726170138,554138.8765830578,9021404.622196397,2851868.3999723336, Rejected
178,3, Graduate, No,913179.6717674909,1407462.3561059178,20,782.0399994150822,394654.6273718384,399122.5727474557,-189377.39224208216,-117261.49232580786, Approved
179,1, Not Graduate, Yes,2849039.9647852723,9785923.466692084,18,778.8130333627125,2029602.9239507834,-246380.66560936742,12216067.751321223,2292135.454692686,
180,2, Not Graduate, No,10543502.36092389,105243470.07115012,16,459.7733819147249,19749828.13011022,3229772.5713539463,33927630.12633355,12146572.81275652, Rejected
181,2, Graduate, Yes,1120077.5781820514,1961012.3072167356,16,456.94845585618464,776428.9009550164,508647.0693403662,3642939.6491451045,1058579.789415025, Approved
182,0, Not Graduate, No,3740841.491354198,10690493.500271477,18,838.8807019040232,11086584.190379964,,13664199.385589132,2189730.687747842, Approved
183,1, Not Graduate, Yes,9023202.820627933,29747058.584419228,12,426.34997308100424,6265040.74026551,7711571.554140414,30788405.599120222,10808093.779394755, Rejected
184,3, Graduate, Yes,1435760.1990778435,4311011.381116326,20,339.17499183298474,1899305.2591556848,1028637.4952697202,3003694.5743012456,763559.3077927163, Rejected
185,2, Graduate, Yes,6619884.283338359,24902258.655937612,6,780.3768101194748,10531223.035009021,2020992.322295583,17508384.634049978,9641951.725284152,
186,3, Not Graduate, No,4927423.81592138,16498032.283816885,12,830.3478772424704,,1247023.1364110361,17225609.304854244,4345035.586979011, Approved
187,4, Graduate, Yes,4118019.2850209386,14896290.443680955,20,452.4669540756706,10714282.414243804,1046837.6389513661,12880237.792105243,5294116.077986782, Rejected
188,3, Not Graduate, Yes,5184936.815459827,15846779.864918241,4,369.4160840434767,12837887.783360772,,,6446301.853285518, Approved
189,1, Not Graduate, Yes,-38951.99492368649,1411165.8462669663,8,754.7769580250523,1214132.6326634889,1309437.0209882157,1599563.588556332,838211.7577209034, Approved
